t_ms,test_id,motor_id,kv,prop,battery_s,esc_fw,pole_pairs,step_id,throttle_pct,step_time_s,is_steady,eRPM,RPM,V_bus_V,I_A,P_in_W,thrust_N,thrust_g,eff_g_per_W,eff_N_per_W,eff_g_per_A,bdshot_err_pct,notes
213408,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,0,0,0,14.787500,0.005000,0.073937,-0.000772,-0.078724,NaN,NaN,NaN,NaN,OK
213508,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,0,0,0,14.786250,0.005000,0.073931,-0.000681,-0.069462,NaN,NaN,NaN,NaN,OK
213608,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,0,0,0,14.787500,0.005000,0.073937,-0.000636,-0.064831,NaN,NaN,NaN,NaN,OK
213708,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,0,0,0,14.786250,0.002500,0.036966,-0.000590,-0.060200,NaN,NaN,NaN,NaN,OK
213808,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,0,0,0,14.785000,0.002500,0.036962,-0.000545,-0.055570,NaN,NaN,NaN,NaN,OK
213908,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,0,0,0,14.785000,0.000000,0.000000,-0.000545,-0.055570,NaN,NaN,NaN,NaN,OK
214008,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,0,0,0,14.785000,0.005000,0.073925,-0.000545,-0.055570,NaN,NaN,NaN,NaN,OK
214108,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,0,0,0,14.787500,0.007500,0.110906,-0.000500,-0.050939,-0.459297,-0.004504,NaN,NaN,OK
214208,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,0,0,0,14.786250,0.002500,0.036966,-0.000500,-0.050939,NaN,NaN,NaN,NaN,OK
214308,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,0,0,0,14.786250,0.002500,0.036966,-0.000454,-0.046308,NaN,NaN,NaN,NaN,OK
214408,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,0,0,0,14.787500,0.007500,0.110906,-0.000454,-0.046308,-0.417542,-0.004095,NaN,NaN,OK
214507,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,0,0,0,14.786250,0.005000,0.073931,-0.000454,-0.046308,NaN,NaN,NaN,NaN,OK
214606,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,0,0,0,14.786250,0.002500,0.036966,-0.000409,-0.041677,NaN,NaN,NaN,NaN,OK
214706,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,0,0,0,14.786250,0.002500,0.036966,-0.000409,-0.041677,NaN,NaN,NaN,NaN,OK
214806,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,0,0,0,14.785000,0.005000,0.073925,-0.000409,-0.041677,NaN,NaN,NaN,NaN,OK
214906,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,0,0,0,14.786250,0.007500,0.110897,-0.000409,-0.041677,-0.375820,-0.003686,NaN,NaN,OK
215006,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,0,0,0,14.786250,0.002500,0.036966,-0.000454,-0.046308,NaN,NaN,NaN,NaN,OK
215106,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,0,0,0,14.786250,0.005000,0.073931,-0.000545,-0.055570,NaN,NaN,NaN,NaN,OK
215206,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,0,0,0,14.786250,0.005000,0.073931,-0.000636,-0.064831,NaN,NaN,NaN,NaN,OK
215306,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,0,0,0,14.785000,0.007500,0.110887,-0.000727,-0.074093,-0.668181,-0.006553,NaN,NaN,OK
215406,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,0,0,0,14.785000,0.005000,0.073925,-0.000817,-0.083355,NaN,NaN,NaN,NaN,OK
215506,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,0,0,0,14.786250,0.002500,0.036966,-0.001044,-0.106509,NaN,NaN,NaN,NaN,OK
215606,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,0,0,0,14.785000,0.002500,0.036962,-0.001181,-0.120401,NaN,NaN,NaN,NaN,OK
215706,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,0,0,0,14.785000,0.002500,0.036962,-0.001226,-0.125032,NaN,NaN,NaN,NaN,OK
215806,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,0,0,0,14.786250,0.005000,0.073931,-0.001272,-0.129663,NaN,NaN,NaN,NaN,OK
215906,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,0,0,0,14.786250,0.002500,0.036966,-0.001272,-0.129663,NaN,NaN,NaN,NaN,OK
216006,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,0,0,0,14.786250,0.005000,0.073931,-0.001317,-0.134293,NaN,NaN,NaN,NaN,OK
216106,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,0,0,0,14.786250,0.007500,0.110897,-0.001317,-0.134293,-1.210975,-0.011876,NaN,NaN,OK
216206,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,0,0,0,14.786250,0.002500,0.036966,-0.001317,-0.134293,NaN,NaN,NaN,NaN,OK
216306,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,0,0,0,14.786250,0.002500,0.036966,-0.001317,-0.134293,NaN,NaN,NaN,NaN,OK
216406,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,1,0,0,14.785000,0.007500,0.110887,-0.001317,-0.134293,-1.211078,-0.011877,NaN,NaN,OK
216506,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,1,0,0,14.786250,0.005000,0.073931,-0.001317,-0.134293,NaN,NaN,NaN,NaN,OK
216606,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,1,0,0,14.786250,0.005000,0.073931,-0.001272,-0.129663,NaN,NaN,NaN,NaN,OK
216706,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,1,0,0,14.786250,0.007500,0.110897,-0.001226,-0.125032,-1.127460,-0.011057,NaN,NaN,OK
216806,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,1,0,0,14.785000,0.005000,0.073925,-0.001226,-0.125032,NaN,NaN,NaN,NaN,OK
216905,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,1,0,0,14.786250,0.002500,0.036966,-0.001226,-0.125032,NaN,NaN,NaN,NaN,OK
217005,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,1,0,0,14.786250,0.005000,0.073931,-0.001226,-0.125032,NaN,NaN,NaN,NaN,OK
217105,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,1,0,0,14.786250,0.005000,0.073931,-0.001181,-0.120401,NaN,NaN,NaN,NaN,OK
217205,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,1,0,0,14.785000,0.005000,0.073925,-0.001181,-0.120401,NaN,NaN,NaN,NaN,OK
217305,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,1,0,0,14.787500,0.005000,0.073937,-0.001181,-0.120401,NaN,NaN,NaN,NaN,OK
217404,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,1,0,0,14.786250,0.005000,0.073931,-0.001181,-0.120401,NaN,NaN,NaN,NaN,OK
217504,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,1,0,0,14.786250,0.007500,0.110897,-0.001226,-0.125032,-1.127460,-0.011057,NaN,NaN,OK
217604,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,1,0,0,14.787500,0.000000,0.000000,-0.001226,-0.125032,NaN,NaN,NaN,NaN,OK
217704,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,1,0,0,14.787500,0.007500,0.110906,-0.001272,-0.129663,-1.169119,-0.011465,NaN,NaN,OK
217803,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,1,0,0,14.786250,0.007500,0.110897,-0.001317,-0.134293,-1.210975,-0.011876,NaN,NaN,OK
217903,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,1,0,0,14.786250,0.005000,0.073931,-0.001362,-0.138924,NaN,NaN,NaN,NaN,OK
218003,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,1,0,0,14.786250,0.005000,0.073931,-0.001362,-0.138924,NaN,NaN,NaN,NaN,OK
218103,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,1,0,0,14.786250,0.005000,0.073931,-0.001408,-0.143555,NaN,NaN,NaN,NaN,OK
218203,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,1,0,0,14.786250,0.002500,0.036966,-0.001453,-0.148186,NaN,NaN,NaN,NaN,OK
218303,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,1,0,0,14.786250,0.005000,0.073931,-0.001453,-0.148186,NaN,NaN,NaN,NaN,OK
218403,NA,NA,-1,NA,-1,NA,7,1,3.03,20.000,0,0,0,14.786250,0.005000,0.073931,-0.001453,-0.148186,NaN,NaN,NaN,NaN,OK
218503,NA,NA,-1,NA,-1,NA,7,1,6.37,20.000,0,1330,190,14.785000,0.042500,0.628362,-0.001453,-0.148186,-0.235829,-0.002313,-3.486725,0.000000,OK
218603,NA,NA,-1,NA,-1,NA,7,1,9.70,20.000,0,4578,654,14.786250,0.037500,0.554484,-0.001408,-0.143555,-0.258898,-0.002539,-3.828133,0.000000,OK
218703,NA,NA,-1,NA,-1,NA,7,1,10.00,20.000,0,11954,1707,14.785000,0.565000,8.353525,-0.001362,-0.138924,-0.016631,-0.000163,-0.245884,0.000000,OK
218803,NA,NA,-1,NA,-1,NA,7,1,10.00,20.000,0,23414,3344,14.786250,0.210000,3.105112,-0.001317,-0.134293,-0.043249,-0.000424,-0.639492,0.000000,OK
218903,NA,NA,-1,NA,-1,NA,7,1,10.00,20.000,0,25912,3701,14.785000,0.177500,2.624337,-0.001226,-0.125032,-0.047643,-0.000467,-0.704404,0.000000,OK
219003,NA,NA,-1,NA,-1,NA,7,1,10.00,20.000,0,26001,3714,14.785000,0.172500,2.550412,-0.001181,-0.120401,-0.047208,-0.000463,-0.697977,0.000000,OK
219103,NA,NA,-1,NA,-1,NA,7,1,10.00,20.000,0,26273,3753,14.786250,0.170000,2.513662,-0.001090,-0.111139,-0.044214,-0.000434,-0.653761,0.000000,OK
219203,NA,NA,-1,NA,-1,NA,7,1,10.00,20.000,0,26365,3766,14.786250,0.160000,2.365800,-0.000772,-0.078724,-0.033276,-0.000326,-0.492023,0.000000,OK
219303,NA,NA,-1,NA,-1,NA,7,1,10.00,20.000,0,26458,3779,14.786250,0.165000,2.439731,0.000136,0.013892,0.005694,0.000056,0.084196,0.000000,OK
219403,NA,NA,-1,NA,-1,NA,7,1,10.00,20.000,0,27028,3861,14.785000,0.165000,2.439525,0.001862,0.189863,0.077828,0.000763,1.150685,0.000000,OK
219503,NA,NA,-1,NA,-1,NA,7,1,10.00,20.000,0,26273,3753,14.785000,0.152500,2.254712,0.004587,0.467711,0.207437,0.002034,3.066960,0.000000,OK
219603,NA,NA,-1,NA,-1,NA,7,1,10.00,20.000,0,27028,3861,14.785000,0.172500,2.550412,0.008265,0.842807,0.330459,0.003241,4.885836,0.000000,OK
219703,NA,NA,-1,NA,-1,NA,7,1,10.00,20.000,0,26365,3766,14.786250,0.155000,2.291869,0.012943,1.319780,0.575853,0.005647,8.514708,0.000000,OK
219803,NA,NA,-1,NA,-1,NA,7,1,10.00,20.000,0,26835,3833,14.786250,0.170000,2.513662,0.018665,1.903261,0.757167,0.007425,11.195656,0.000000,OK
219903,NA,NA,-1,NA,-1,NA,7,1,10.00,20.000,0,26551,3793,14.786250,0.167500,2.476697,0.025340,2.583990,1.043321,0.010231,15.426806,0.000000,OK
220003,NA,NA,-1,NA,-1,NA,7,1,10.00,20.000,0,26645,3806,14.785000,0.162500,2.402562,0.040644,4.144571,1.725063,0.016917,25.505054,0.000000,OK
220103,NA,NA,-1,NA,-1,NA,7,1,10.00,20.000,0,26551,3793,14.785000,0.162500,2.402562,0.048682,4.964224,2.066221,0.020263,30.549070,0.000000,OK
220203,NA,NA,-1,NA,-1,NA,7,1,10.00,20.000,0,26835,3833,14.786250,0.167500,2.476697,0.056766,5.788507,2.337189,0.022920,34.558254,0.000000,OK
220303,NA,NA,-1,NA,-1,NA,7,1,10.00,20.000,0,26091,3727,14.785000,0.162500,2.402562,0.064849,6.612791,2.752391,0.026992,40.694099,0.000000,OK
220403,NA,NA,-1,NA,-1,NA,7,1,10.00,20.000,0,26740,3820,14.786250,0.170000,2.513662,0.072978,7.441705,2.960503,0.029033,43.774738,0.000000,OK
220503,NA,NA,-1,NA,-1,NA,7,1,10.00,20.000,0,26740,3820,14.786250,0.162500,2.402766,0.081016,8.261358,3.438271,0.033718,50.839130,0.000000,OK
220603,NA,NA,-1,NA,-1,NA,7,1,10.00,20.000,0,26740,3820,14.785000,0.170000,2.513450,0.089054,9.081011,3.612967,0.035431,53.417713,0.000000,OK
220703,NA,NA,-1,NA,-1,NA,7,1,10.00,20.000,0,26365,3766,14.786250,0.170000,2.513662,0.096865,9.877509,3.929529,0.038536,58.103001,0.000000,OK
220803,NA,NA,-1,NA,-1,NA,7,1,10.00,20.000,0,27223,3889,14.785000,0.165000,2.439525,0.104040,10.609177,4.348870,0.042648,64.298042,0.000000,OK
220903,NA,NA,-1,NA,-1,NA,7,1,10.00,20.000,0,26645,3806,14.785000,0.160000,2.365600,0.110353,11.252858,4.756874,0.046649,70.330368,0.000000,OK
221002,NA,NA,-1,NA,-1,NA,7,1,10.00,20.000,0,26645,3806,14.786250,0.167500,2.476697,0.115666,11.794662,4.762256,0.046702,70.415901,0.000000,OK
221102,NA,NA,-1,NA,-1,NA,7,1,10.00,20.000,0,26551,3793,14.786250,0.167500,2.476697,0.119980,12.234590,4.939882,0.048444,73.042328,0.000000,OK
221202,NA,NA,-1,NA,-1,NA,7,1,10.00,20.000,0,26551,3793,14.785000,0.162500,2.402562,0.123205,12.563376,5.229157,0.051281,77.313087,0.000000,OK
221302,NA,NA,-1,NA,-1,NA,7,1,10.00,20.000,0,26458,3779,14.786250,0.172500,2.550628,0.125430,12.790286,5.014563,0.049176,74.146584,0.000000,OK
221402,NA,NA,-1,NA,-1,NA,7,1,10.00,20.000,1,26835,3833,14.786250,0.167500,2.476697,0.126701,12.919949,5.216605,0.051157,77.134026,0.000000,OK
221502,NA,NA,-1,NA,-1,NA,7,1,10.00,20.000,1,26645,3806,14.786250,0.167500,2.476697,0.127156,12.966257,5.235303,0.051341,77.410492,0.000000,OK
221602,NA,NA,-1,NA,-1,NA,7,1,10.00,20.000,1,26365,3766,14.785000,0.165000,2.439525,0.127156,12.966257,5.315075,0.052123,78.583382,0.000000,OK
221702,NA,NA,-1,NA,-1,NA,7,1,10.00,20.000,1,26645,3806,14.785000,0.160000,2.365600,0.127156,12.966257,5.481172,0.053752,81.039116,0.000000,OK
221802,NA,NA,-1,NA,-1,NA,7,1,10.00,20.000,1,26835,3833,14.786250,0.162500,2.402766,0.127019,12.952364,5.390607,0.052864,79.706856,0.000000,OK
